Created At,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,PM2.5 AQI,AQImessage,Risk Factor
2019-08-02 15:00:00 UTC,1.90,3.04,3.34,3.00,-55.00,74.00,36.00,3.04,13,Good,0
2019-08-02 16:00:00 UTC,19.20,52.34,63.93,35.00,-51.40,78.40,32.07,36.12,103,Unhealthy for Sensitive Groups,2
2019-08-02 17:00:00 UTC,0.00,0.01,0.02,78.00,-50.46,82.00,29.31,0.01,0,Good,0
2019-08-07 19:00:00 UTC,15.81,38.27,45.59,21.00,-52.33,83.62,28.71,26.67,82,Moderate,1
2019-08-07 20:00:00 UTC,0.00,0.00,0.00,47.20,-53.80,88.00,25.40,0.00,-,-,-
2019-10-09 04:00:00 UTC,7.73,11.99,12.54,3.00,-89.00,82.00,42.50,11.99,50,Good,0
2019-12-05 11:00:00 UTC,52.29,79.32,84.33,4.33,-53.50,79.17,42.67,52.97,144,Unhealthy for Sensitive Groups,2
2019-12-06 04:00:00 UTC,21.29,33.25,35.24,5.00,-52.75,79.75,37.50,31.65,92,Moderate,1
2019-12-11 03:00:00 UTC,50.68,78.57,82.92,4.00,-94.00,76.00,50.00,52.25,142,Unhealthy for Sensitive Groups,2
2019-12-11 04:00:00 UTC,45.76,69.90,73.95,25.14,-91.57,81.29,41.71,50.76,139,Unhealthy for Sensitive Groups,2
2019-12-11 05:00:00 UTC,,,,,,,,,-,-,-
2019-12-11 06:00:00 UTC,,,,,,,,,-,-,-
2019-12-11 07:00:00 UTC,40.06,61.35,65.09,9.67,-91.00,85.67,36.00,46.65,128,Unhealthy for Sensitive Groups,2
2019-12-11 08:00:00 UTC,,,,,,,,,-,-,-
2019-12-11 09:00:00 UTC,,,,,,,,,-,-,-
2019-12-11 10:00:00 UTC,62.86,96.71,101.94,16.00,-92.00,85.50,38.50,63.68,155,Unhealthy,3
2019-12-11 11:00:00 UTC,88.91,136.30,144.19,9.71,-87.71,83.86,43.71,90.15,169,Unhealthy,3
2019-12-11 12:00:00 UTC,113.45,171.69,181.36,9.36,-88.64,82.36,46.36,113.77,181,Unhealthy,3
2019-12-11 13:00:00 UTC,110.62,165.20,173.90,43.38,-89.73,81.54,48.77,109.42,179,Unhealthy,3
2019-12-11 14:00:00 UTC,114.21,171.61,181.12,109.86,-89.64,79.36,53.57,113.66,181,Unhealthy,3
2019-12-11 15:00:00 UTC,114.10,171.95,181.25,168.80,-88.10,78.93,55.83,113.90,181,Unhealthy,3
2019-12-11 16:00:00 UTC,104.68,159.34,168.47,227.00,-88.64,77.57,57.21,105.48,177,Unhealthy,3
2019-12-11 17:00:00 UTC,109.46,166.61,175.64,291.30,-88.74,76.57,58.57,110.34,179,Unhealthy,3
2019-12-11 18:00:00 UTC,119.05,184.89,195.53,347.97,-89.14,75.52,60.79,122.51,186,Unhealthy,3
2019-12-11 19:00:00 UTC,101.40,158.22,167.47,406.57,-89.18,76.00,59.71,104.73,176,Unhealthy,3
2019-12-11 20:00:00 UTC,89.10,136.81,144.33,467.00,-89.57,76.00,57.27,90.43,169,Unhealthy,3
2019-12-11 21:00:00 UTC,59.01,92.49,97.93,526.97,-89.79,76.97,54.41,60.93,154,Unhealthy,3
2019-12-11 22:00:00 UTC,62.99,96.96,102.44,587.00,-89.20,76.13,56.10,63.94,155,Unhealthy,3
2019-12-11 23:00:00 UTC,61.78,96.69,102.41,646.83,-89.10,76.00,57.38,63.70,155,Unhealthy,3
2019-12-12 00:00:00 UTC,71.48,111.71,118.14,702.52,-88.80,75.68,57.84,73.68,160,Unhealthy,3
2019-12-12 01:00:00 UTC,75.98,119.47,126.12,557.00,-89.00,75.50,57.50,78.90,163,Unhealthy,3
2019-12-12 02:00:00 UTC,74.54,118.64,126.47,38.00,-90.00,77.00,54.50,78.36,163,Unhealthy,3
2019-12-12 03:00:00 UTC,66.08,105.00,112.84,10.00,-93.00,80.00,51.00,69.35,158,Unhealthy,3
2019-12-12 04:00:00 UTC,,,,,,,,,-,-,-
2019-12-12 05:00:00 UTC,52.26,82.54,87.37,9.33,-91.33,85.33,41.33,55.36,150,Unhealthy for Sensitive Groups,2
2019-12-12 06:00:00 UTC,74.55,124.24,133.19,8.00,-91.50,87.00,36.00,82.76,165,Unhealthy,3
2019-12-12 07:00:00 UTC,52.32,80.88,84.96,25.20,-92.20,88.00,34.40,53.86,146,Unhealthy for Sensitive Groups,2
2019-12-12 08:00:00 UTC,,,,,,,,,-,-,-
2019-12-12 09:00:00 UTC,53.59,82.64,87.69,10.00,-91.33,88.00,35.33,54.76,148,Unhealthy for Sensitive Groups,2
2019-12-12 10:00:00 UTC,71.32,110.14,115.98,15.00,-89.67,83.33,40.00,72.71,160,Unhealthy,3
2019-12-12 11:00:00 UTC,75.00,116.84,122.61,11.40,-88.20,85.00,43.40,77.15,162,Unhealthy,3
2019-12-12 12:00:00 UTC,100.16,153.66,162.17,24.00,-88.96,82.96,48.48,101.68,175,Unhealthy,3
2019-12-12 13:00:00 UTC,104.72,163.06,172.47,77.00,-90.67,82.07,49.83,107.96,178,Unhealthy,3
2019-12-12 14:00:00 UTC,103.76,162.05,171.52,137.03,-91.37,81.00,51.47,107.29,178,Unhealthy,3
2019-12-12 15:00:00 UTC,111.69,175.34,185.52,197.17,-91.48,80.21,53.34,116.17,182,Unhealthy,3
2019-12-12 16:00:00 UTC,119.34,188.10,199.03,256.90,-90.28,79.52,55.24,124.65,187,Unhealthy,3
2019-12-12 17:00:00 UTC,133.56,212.59,226.11,317.00,-91.10,78.17,56.97,141.00,195,Unhealthy,3
2019-12-12 18:00:00 UTC,138.20,221.90,236.59,377.00,-93.33,77.67,58.30,147.19,198,Unhealthy,3
2019-12-12 19:00:00 UTC,133.24,214.15,227.69,437.00,-91.57,77.87,59.00,142.04,196,Unhealthy,3
2019-12-12 20:00:00 UTC,109.99,175.48,186.25,497.00,-90.37,78.00,58.53,116.25,182,Unhealthy,3
2019-12-12 21:00:00 UTC,78.56,128.47,136.69,556.97,-91.14,77.52,58.21,84.91,166,Unhealthy,3
2019-12-12 22:00:00 UTC,77.04,126.07,133.76,521.47,-91.33,77.87,56.87,83.29,165,Unhealthy,3
2019-12-12 23:00:00 UTC,84.28,136.96,145.96,13.50,-90.25,76.25,59.44,90.53,169,Unhealthy,3
2019-12-13 00:00:00 UTC,77.82,125.20,133.02,42.40,-91.00,76.15,60.85,82.71,165,Unhealthy,3
2019-12-13 01:00:00 UTC,72.86,116.52,123.69,71.33,-91.17,77.00,58.28,76.90,162,Unhealthy,3
2019-12-13 02:00:00 UTC,65.28,106.54,113.76,7.50,-88.17,78.83,54.67,70.28,159,Unhealthy,3
2019-12-13 03:00:00 UTC,115.39,196.53,210.10,6.00,-92.00,81.00,51.00,130.29,190,Unhealthy,3
2019-12-13 04:00:00 UTC,66.41,105.96,111.84,4.00,-95.00,84.50,43.50,69.94,158,Unhealthy,3
2019-12-13 05:00:00 UTC,54.38,87.46,92.24,19.00,-86.50,87.00,38.50,57.50,152,Unhealthy,3
2019-12-13 06:00:00 UTC,53.18,82.38,86.80,10.50,-91.50,88.50,34.00,54.60,148,Unhealthy for Sensitive Groups,2
2019-12-13 07:00:00 UTC,57.29,89.76,95.17,6.67,-91.67,87.33,32.67,60.29,153,Unhealthy,3
2019-12-13 08:00:00 UTC,51.29,80.52,85.31,13.67,-90.67,89.00,33.00,54.10,147,Unhealthy for Sensitive Groups,2
2019-12-13 09:00:00 UTC,51.21,80.02,84.54,2.00,-89.00,89.00,33.00,53.02,144,Unhealthy for Sensitive Groups,2
2019-12-13 10:00:00 UTC,57.97,89.45,93.91,31.82,-94.09,87.36,36.23,59.03,153,Unhealthy,3
2019-12-13 11:00:00 UTC,77.48,119.06,125.61,87.00,-94.27,84.93,42.77,78.64,163,Unhealthy,3
2019-12-13 12:00:00 UTC,83.87,128.44,135.29,141.04,-94.13,83.39,47.39,84.88,166,Unhealthy,3
2019-12-13 13:00:00 UTC,101.13,155.35,164.18,208.81,-93.52,82.52,50.29,102.80,175,Unhealthy,3
2019-12-13 14:00:00 UTC,103.37,160.54,170.06,114.00,-93.89,82.00,52.56,106.28,177,Unhealthy,3
2019-12-13 15:00:00 UTC,116.44,182.28,194.67,11.00,-91.00,81.00,55.00,120.77,185,Unhealthy,3
2019-12-13 16:00:00 UTC,,,,,,,,,-,-,-
2019-12-13 17:00:00 UTC,146.02,235.39,250.42,17.00,-93.00,79.00,56.50,156.22,207,Very Unhealthy,4
2019-12-13 18:00:00 UTC,146.68,235.59,250.22,7.00,-91.67,78.83,57.00,156.34,207,Very Unhealthy,4
